file_path,file_name,section,module,file_format,size_kb,word_count,line_count,n_commits,days_shared,days_since_update
Cliff Notes Module 08/Introduction to Matplotlib.md,Introduction to Matplotlib.md,Cliff Notes,8,md,3.0,463,77,3,23,7
Cliff Notes Module 08/Module 8 Cliff Notes.md,Module 8 Cliff Notes.md,Cliff Notes,8,md,2.5,342,57,3,23,7
Cliff Notes Module 08/Using Pandas to Plot Bar Charts and Histograms.md,Using Pandas to Plot Bar Charts and Histograms.md,Cliff Notes,8,md,3.3,389,80,3,23,7
Cliff Notes Module 08/What Plot Type Should You Use.md,What Plot Type Should You Use.md,Cliff Notes,8,md,3.5,513,74,3,23,7
Cliff Notes Module 09/Categorical-to-Continuous Relationships - Point Plots (Cliff Notes).md,Categorical-to-Continuous Relationships - Point Plots (Cliff Notes).md,Cliff Notes,9,md,7.2,1142,149,2,10,7
Cliff Notes Module 09/Continuous-to-Continuous Relationships - Scatterplots (Cliff Notes).md,Continuous-to-Continuous Relationships - Scatterplots (Cliff Notes).md,Cliff Notes,9,md,6.0,842,119,3,10,7
Cliff Notes Module 09/Faceted Histograms and Conditional KDE (Cliff Notes).md,Faceted Histograms and Conditional KDE (Cliff Notes).md,Cliff Notes,9,md,7.2,1018,144,2,10,7
Cliff Notes Module 09/Point Plots - Notebook (Cliff Notes).md,Point Plots - Notebook (Cliff Notes).md,Cliff Notes,9,md,6.5,921,144,2,10,7
Cliff Notes Module 09/Scatterplot Density Visualization - Notebook (Cliff Notes).md,Scatterplot Density Visualization - Notebook (Cliff Notes).md,Cliff Notes,9,md,6.7,910,146,2,8,7
Cliff Notes Module 09/Scatterplots - Notebook (Cliff Notes).md,Scatterplots - Notebook (Cliff Notes).md,Cliff Notes,9,md,3.4,405,100,2,10,7
Cliff Notes Module 09/Violin Plots (Cliff Notes).md,Violin Plots (Cliff Notes).md,Cliff Notes,9,md,7.6,1121,168,3,10,7
Cliff Notes Module 10/Continuous-to-Continuous Relationships - Correlation Plots (Cliff Notes).md,Continuous-to-Continuous Relationships - Correlation Plots (Cliff Notes).md,Cliff Notes,10,md,8.6,1254,164,1,7,7
Cliff Notes Module 10/Correlation Plots - Notebook (Cliff Notes).md,Correlation Plots - Notebook (Cliff Notes).md,Cliff Notes,10,md,6.0,796,120,1,7,7
Cliff Notes Module 10/Introduction to Standardization (Cliff Notes).md,Introduction to Standardization (Cliff Notes).md,Cliff Notes,10,md,7.3,1071,115,1,7,7
Cliff Notes Module 10/Introduction to Standardization - Notebook (Cliff Notes).md,Introduction to Standardization - Notebook (Cliff Notes).md,Cliff Notes,10,md,5.0,744,82,1,7,7
Cliff Notes Module 10/Pairplots - Notebook (Cliff Notes).md,Pairplots - Notebook (Cliff Notes).md,Cliff Notes,10,md,5.3,725,117,1,7,7
Cliff Notes Module 10/Standardization with Scikit-learn (Cliff Notes).md,Standardization with Scikit-learn (Cliff Notes).md,Cliff Notes,10,md,9.5,1301,196,1,7,7
Cliff Notes Module 10/Standardization with Scikit-learn - Notebook (Cliff Notes).md,Standardization with Scikit-learn - Notebook (Cliff Notes).md,Cliff Notes,10,md,8.3,1132,119,1,7,7
Cliff Notes Module 10/Styles and Color Palettes - Notebook (Cliff Notes).md,Styles and Color Palettes - Notebook (Cliff Notes).md,Cliff Notes,10,md,5.8,742,134,2,7,7
Guides/CourseraToVSCode,CourseraToVSCode,Guides,,submodule,,,,1,7,7
Guides/Goodbye AI - On the Road with VS Code.pdf,Goodbye AI - On the Road with VS Code.pdf,Guides,,pdf,1020.3,,,1,7,7
Guides/README.md,README.md,Guides,,md,2.6,375,26,1,7,7
Guides/UCFCECS_ALL_PYTHON_LOOPS_INTRO,UCFCECS_ALL_PYTHON_LOOPS_INTRO,Guides,,submodule,,,,1,7,7
Guides/upitt-anaconda-setup-guide,upitt-anaconda-setup-guide,Guides,,submodule,,,,1,7,7
LICENSE,LICENSE,(root),,none,1.1,,,1,49,49
README.md,README.md,(root),,md,4.7,624,58,19,49,7
Sandbox.ipynb,Sandbox.ipynb,(root),,ipynb,0.3,,,1,49,49
Tools/CMPIF2100-Lab-Transcriber-2.0,CMPIF2100-Lab-Transcriber-2.0,Tools,,submodule,,,,1,7,7
Tools/CMPIF2100_LAB_VER_CHECK,CMPIF2100_LAB_VER_CHECK,Tools,,submodule,,,,1,7,7
Tools/README.md,README.md,Tools,,md,2.5,363,21,1,7,7
Tools/VEShell,VEShell,Tools,,submodule,,,,1,7,7
Trainers/Module-2_Python_Loops_Trainer.pdf,Module-2_Python_Loops_Trainer.pdf,Trainers,2,pdf,32.7,,,1,34,34
Trainers/Module-4_Statistics_Simulation_Trainer.pdf,Module-4_Statistics_Simulation_Trainer.pdf,Trainers,4,pdf,30.9,,,1,32,32
Trainers/Module-8-9_Data_Visualization_Toolkit_Trainer_Part_1.pdf,Module-8-9_Data_Visualization_Toolkit_Trainer_Part_1.pdf,Trainers,8,pdf,420.1,,,1,8,8
Trainers/README.md,README.md,Trainers,,md,1.6,232,24,6,34,8
